"Promoter Name"	"Absolute-Plus-1-Position"	"Component-Of"
PM00547	1329004	COLI-K12-26 // TU0-2501
PM0-44782	1202229	COLI-K12-24
PM0-45438	2756903	COLI-K12-55
PM00187	3754558	COLI-K12-75 // TU00138
PM0-45806	3632806	COLI-K12-72
PM00619	3490417	COLI-K12-70 // TU00464
PM0-10252	3657163	COLI-K12-73 // TU0-14697
PM0-45149	1977643	COLI-K12-39
PM0-46267	3646086	COLI-K12-73 // TU0-42529
PM0-45510	2988405	COLI-K12-59
PM0-44334	6587	COLI-K12-0
PM0-45878	3834791	COLI-K12-76
PM0-9339	1798451	COLI-K12-36 // TU0-14255
PM0-10444	1732186	COLI-K12-34 // TU0-8805
PM0-44694	1029224	COLI-K12-20
PM0-46367	2964143	TU0-42614 // COLI-K12-59 // TU00295
PM00065	2310852	COLI-K12-46 // TU00049
PM0-44404	263042	COLI-K12-5
PM0-45061	1811177	COLI-K12-36
PM0-9580	2033654	COLI-K12-40 // TU0-14416
PM00531	1341500	COLI-K12-26 // TU00388
PM0-44766	1193660	COLI-K12-23
PM0-45422	2739337	COLI-K12-54
PM00164	709939	COLI-K12-14 // TU00121
PM0-45790	3607043	COLI-K12-72
PM00602	3999217	COLI-K12-80 // TU00455
PM0-10223	2165138	COLI-K12-43 // TU0-13506
PM0-45133	1943390	COLI-K12-38
PM0-46189	936551	COLI-K12-18 // TU0-13079
PM0-45494	2971961	COLI-K12-59
PM0-4241	2786949	COLI-K12-55 // TU0-4001
PM0-45862	3781704	COLI-K12-75
PM0-9249	1312015	COLI-K12-26 // TU0-8813
PM0-10406	638023	COLI-K12-12 // TU0-12995
PM0-44678	963328	COLI-K12-19
PM0-46350	2739846	COLI-K12-54 // TU0-13679
PM00044	728072	COLI-K12-14 // TU00035
PM0-44388	234025	COLI-K12-4
PM0-45045	1770433	COLI-K12-35
PM0-9556	3484053	COLI-K12-69 // TU0-14398
PM00515	1191909	COLI-K12-23 // TU00054
PM0-44750	1166630	COLI-K12-23
PM0-45406	2672817	COLI-K12-53
PM00144	757809	COLI-K12-15 // TU0-42509 // TU00103
PM0-45771	3579039	TU0-3401 // COLI-K12-71
PM0-45117	1919777	COLI-K12-38
PM0-10192	4455968	COLI-K12-89 // TU0-14167
PM00589	2618931	COLI-K12-52 // TU00439
PM0-46157	1480928	COLI-K12-29 // TU0-42461
PM0-45478	2921072	COLI-K12-58
PM0-3681	2455021	COLI-K12-49 // TU0-3481
PM0-45846	3749985	COLI-K12-75
PM0-8911	1342662	COLI-K12-26 // TU0-8475
PM0-10366	3656085	COLI-K12-73 // TU0-14742
PM0-44659	915356	COLI-K12-18
PM0-46331	2911722	COLI-K12-58 // TU0-42589
PM00023	3989022	COLI-K12-79 // TU00016
PM0-44372	177786	COLI-K12-3
PM0-45026	1737902	COLI-K12-34
PM0-9517	3453532	COLI-K12-69 // TU0-14377
PM00494	4161422	COLI-K12-83 // TU0-6281
PM0-44734	1123306	COLI-K12-22
PM0-45387	2627107	COLI-K12-52
PM00125	1987669	COLI-K12-39 // TU00088
PM0-45755	3527755	COLI-K12-70
PM0-45101	1892957	COLI-K12-37
PM0-10175	4254631	COLI-K12-85 // TU0-14115
PM00571	3598893	COLI-K12-72 // TU00427
PM0-46122	3667574	COLI-K12-73 // TU0-8360
PM0-45462	2869933	COLI-K12-57
PM0-3625	3202197	COLI-K12-64 // TU0-3425
PM0-45830	3714509	COLI-K12-74
PM0-8845	1703779	COLI-K12-34 // TU0-8458
PM0-10342	3819411	COLI-K12-76 // TU0-14004
PM0-44643	859311	COLI-K12-17
PM0-46313	1959959	COLI-K12-39 // TU0-13445
PM00004	70241	COLI-K12-1 // TU00003
PM0-44357	144965	COLI-K12-2
PM0-45010	1700226	COLI-K12-34 // TU0-13350
PM0-9401	1621903	COLI-K12-32 // TU0-13308
PM00478	3958670	COLI-K12-79 // TU0-6511
PM0-44718	1094916	COLI-K12-21
PM0-45371	2549943	COLI-K12-51
PM00101	2308449	COLI-K12-46 // TU00072
PM0-45739	3497333	COLI-K12-70
PM0-45085	1873487	COLI-K12-37
PM0-10153	3828454	COLI-K12-76 // TU0-14006
PM00555	156214	COLI-K12-3 // TU00404
PM0-46104	4605891	COLI-K12-92
PM0-45446	2771307	COLI-K12-55
PM0-36235	1168256	COLI-K12-23 // TU0-8685
PM0-45814	3670068	COLI-K12-73
PM0-8735	3690696	COLI-K12-74 // TU0-8354
PM0-10276	2543763	COLI-K12-51 // TU0-14715
PM0-44626	832183	COLI-K12-16
PM0-46297	1445373	COLI-K12-29 // TU0-42547
PM0-9987	539583	COLI-K12-10 // TU0-14616
PM0-44342	15436	COLI-K12-0
PM0-44994	1653703	COLI-K12-33
PM0-9366	3134425	COLI-K12-62 // TU0-13818
PM00461	3880371	COLI-K12-77 // TU0-1196
PM0-44702	1050553	COLI-K12-21
PM0-45355	2512344	COLI-K12-50
PM00080	2619175	COLI-K12-52 // TU00058
PM934	1666627	COLI-K12-33 // TU789
PM0-45069	1839462	COLI-K12-36
PM0-45723	3411643	COLI-K12-68
PM00539	2796600	COLI-K12-56 // TU00395
PM0-10133	3351071	COLI-K12-67 // TU0-5621
PM0-45430	2745868	COLI-K12-55
PM0-46088	4569728	COLI-K12-91
PM0-45798	3617201	COLI-K12-72
PM0-36220	3656077	COLI-K12-73 // TU0-36438
PM0-10242	3815722	COLI-K12-76 // TU0-14002
PM0-8701	3811875	COLI-K12-76 // TU0-8321
PM0-4621	703063	COLI-K12-14 // TU0-4421
PM0-44611	784688	COLI-K12-15
PM0-4423	3791993	COLI-K12-76 // TU0-4183
PM0-9971	345656	COLI-K12-6 // TU0-8549
PM0-9309		TU0-8873
PM0-44978	1625446	COLI-K12-32
PM0-44686	1005113	COLI-K12-20
PM00442	3382624	COLI-K12-67 // TU0-3501
PM00054	4130569	COLI-K12-82 // TU00218
PM0-45339	2461006	COLI-K12-49
PM0-45053	1804241	COLI-K12-36
PM721	4364866	COLI-K12-87 // TU621
PM00523	208411	COLI-K12-4 // TU00230
PM0-45707	3387483	COLI-K12-67
PM0-45414	2713366	COLI-K12-54
PM0-10116	3003869	COLI-K12-60 // TU0-8748
PM0-45782	3600279	COLI-K12-72
PM0-46072	4516465	COLI-K12-90
PM0-10207	160657	COLI-K12-3 // TU0-14681
PM0-36188	1608744	COLI-K12-32 // TU0-36422
PM0-46179	84304	COLI-K12-1 // TU0-42477
PM0-8562	1725825	COLI-K12-34 // TU0-8182
PM0-3923	4285414	COLI-K12-85 // TU0-3723
PM0-44595	741846	COLI-K12-14
PM0-9094	3214775	COLI-K12-64 // TU0-8658
PM0-9954	1616965	COLI-K12-32 // TU0-8827
PM0-44670	948770	COLI-K12-19
PM0-44962	1580753	COLI-K12-31
PM00034	4056245	COLI-K12-81 // TU0-5901 // TU00027
PM00424	2820112	COLI-K12-56 // TU0-6441
PM0-8927	3635635	COLI-K12-72 // TU0-8491
PM0-45323	2406853	TU0-13580 // COLI-K12-48
PM0-44667	946368	COLI-K12-18
PM643	3268614	COLI-K12-65 // TU543
PM00031	2239732	COLI-K12-44 // TU00024
PM0-45691	3364865	COLI-K12-67
PM0-45034	1753191	COLI-K12-35
PM0-10097	2637455	COLI-K12-52 // TU0-14646
PM00503	4470576	COLI-K12-89 // TU00484
PM0-46056	4484145	COLI-K12-89
PM0-45395	2645515	COLI-K12-53
PM0-36142	2313717	COLI-K12-46 // TU00327
PM0-45763	3541169	COLI-K12-71
PM0-8381	845854	COLI-K12-16 // TU0-8001
PM0-10183	4368896	COLI-K12-87 // TU0-14673
PM0-44579	678685	COLI-K12-13
PM0-46132	3783210	COLI-K12-75 // TU0-42455
PM0-9866	4397005	COLI-K12-88 // TU0-14563
PM0-36257	4276344	COLI-K12-85 // TU0-14123
PM0-44946	1531987	COLI-K12-30
PM0-8873	3316197	COLI-K12-66 // TU00311
PM00407	2439663	COLI-K12-48 // TU0-1482
PM0-44651	889108	COLI-K12-17
PM0-45307	2383806	COLI-K12-47
PM00012	1786342	COLI-K12-35 // TU00010
PM583	2702245	COLI-K12-54 // TU00332 // TU483
PM0-45018	1718873	COLI-K12-34
PM0-45675	3319673	COLI-K12-66
PM00486	4122532	COLI-K12-82 // TU0-5961
PM0-10079	2176803	COLI-K12-43 // TU0-13509
PM0-45379	2580915	COLI-K12-51
PM0-46040	4439344	COLI-K12-89
PM0-45747	3524208	COLI-K12-70
PM0-3341	770425	COLI-K12-15 // TU0-3161
PM0-10163	4024466	COLI-K12-80 // TU0-14055
PM0-8164	1680162	COLI-K12-33 // TU0-7784
PM0-46112	4628723	COLI-K12-92 // TU0-14226
PM0-44563	663190	COLI-K12-13
PM0-36242	1875681	COLI-K12-37 // TU0-8714
PM0-9844	4124931	COLI-K12-82 // TU0-8506
PM0-8750	2063898	COLI-K12-41 // TU00252
PM0-44930	1504778	COLI-K12-30
PM0-44634	849527	COLI-K12-17
PM00382	1930808	COLI-K12-38 // TU27
PM0-9995	781284	COLI-K12-15 // TU0-13037
PM0-45291	2346363	COLI-K12-47
PM0-45002	1669977	COLI-K12-33
PM461	3665630	COLI-K12-73 // TU586
PM00469	3882260	COLI-K12-77 // TU682
PM0-45659	3285423	COLI-K12-65
PM0-45363	2516356	COLI-K12-50
PM0-10062	1872347	COLI-K12-37 // TU0-8712
PM0-45731	3464771	COLI-K12-69
PM0-46024	4389589	COLI-K12-88
PM0-10144	3490541	COLI-K12-70 // TU0-13922
PM0-2741	3150036	COLI-K12-63 // TU00265
PM0-46096	4592867	COLI-K12-92
PM0-7901	1540714	COLI-K12-30
PM0-36228	515047	COLI-K12-10 // TU0-12956
PM0-44547	632780	COLI-K12-12
PM0-8721		TU0-8341
PM0-9821		TU0-14538
PM0-44619	799917	COLI-K12-16
PM0-44914	1490329	COLI-K12-29
PM0-9979	445911	COLI-K12-8 // TU0-12925
PM00366	1262806	COLI-K12-25 // TU0-4202
PM0-44986	1639714	COLI-K12-32
PM0-45276	2282131	COLI-K12-45
PM00451	3638006	COLI-K12-72 // TU00431
PM384	1267077	COLI-K12-25 // TU306
PM0-45347	2480356	COLI-K12-49
PM0-45643	3252283	COLI-K12-65
PM921	956818	COLI-K12-19 // TU0-5964 // TU00357
PM0-10046	1635870	COLI-K12-32 // TU0-13319
PM0-45715	3401468	COLI-K12-68
PM0-46008	4306687	COLI-K12-86
PM0-10125	3154593	COLI-K12-63 // TU0-13824
PM0-2223	141279	COLI-K12-2 // TU0-7001
PM0-46080	4556340	COLI-K12-91
PM0-7541	2666986	COLI-K12-53 // TU0-7201
PM0-36209	3340032	COLI-K12-66 // TU0-36431
PM0-44531	574997	COLI-K12-11
PM0-8622	1945463	COLI-K12-39 // TU0-8242
PM0-9802	251969	COLI-K12-5 // TU0-12854
PM0-44604	776783	COLI-K12-15
PM0-44898	1438870	TU0-41760 // COLI-K12-28
PM0-9963	189712	COLI-K12-3 // TU00345
PM00350	754627	COLI-K12-15 // TU0-6702
PM0-44970	1612812	COLI-K12-32
PM0-45261	2261735	COLI-K12-45
PM00434	3208734	COLI-K12-64 // TU00434
PM329	2518806	COLI-K12-50 // TU0-6551
PM0-45331	2442273	COLI-K12-48
PM0-45627	3234484	COLI-K12-64
PM681	1229689	COLI-K12-24 // TU581
PM0-10028	1308916	COLI-K12-26 // TU0-13188
PM0-45699	3383428	COLI-K12-67
PM0-45992	4259623	COLI-K12-85
PM0-10108	2865589	COLI-K12-57 // TU0-14649
PM0-1963	3084599	COLI-K12-61 // TU0-1783
PM0-46064	4502043	COLI-K12-90 // TU0-14183
PM0-7162	629087	COLI-K12-12 // TU0-6822
PM0-36161	2212862	COLI-K12-44 // TU0-13527
PM0-44515	556229	COLI-K12-11
PM0-8526	4437534	COLI-K12-88 // TU0-8146
PM0-9781		TU0-14502
PM0-44587	690207	COLI-K12-13
PM0-44882	1418301	COLI-K12-28
PM0-9880	3320609	COLI-K12-66 // TU0-14573
PM00333	255776	COLI-K12-5 // TU0-6442
PM0-44954	1553766	COLI-K12-31
PM0-45246	2223785	COLI-K12-44
PM00416	2705218	COLI-K12-54 // TU0-6942
PM206	1078148	COLI-K12-21 // TU355
PM0-45315	2386576	COLI-K12-47
PM0-45611	3202670	COLI-K12-64
PM601	1445391	COLI-K12-29 // TU501
PM0-10009	988267	COLI-K12-19 // TU0-13093
PM0-45683	3334976	COLI-K12-66
PM0-45976	4197396	COLI-K12-84
PM0-10088	2507469	COLI-K12-50 // TU0-14640
PM0-1661	1644412	COLI-K12-33 // TU0-1501
PM0-46048	4472857	COLI-K12-89
PM0-5802	3100933	COLI-K12-62 // TU0-5782 // TU0-5781 // TU0-5562
PM0-3582	786855	COLI-K12-15 // TU0-3382
PM0-44499	507486	COLI-K12-10
PM0-8203	584888	COLI-K12-11 // TU0-7823
PM0-9763		TU0-13067
PM0-44571	675862	COLI-K12-13
PM0-44866	1389896	COLI-K12-27
PM0-9853		TU0-14555
PM00317	12123	COLI-K12-0 // TU00417
PM0-44938	1515378	COLI-K12-30
PM0-45231	2190902	COLI-K12-43
PM00391	2053055	COLI-K12-41 // TU0-6422
PM177	3514004	COLI-K12-70 // TU876
PM0-45299	2363776	COLI-K12-47
PM0-45595	3170445	COLI-K12-63
PM521	794285	COLI-K12-15 // TU00301
PM-8820	3834687	COLI-K12-76 // TU-8434
PM0-45667	3297034	COLI-K12-66
PM0-45960	4103124	COLI-K12-82
PM0-10071	2069498	COLI-K12-41 // TU0-14635
PM0-1350	223593	COLI-K12-4 // TU0-1190
PM0-46032	4431171	COLI-K12-88
PM0-5402	4417950	COLI-K12-88 // TU0-5162
PM0-2922	2551227	COLI-K12-51 // TU0-2742
PM0-44483	463584	COLI-K12-9 // TU0-12932
PM0-8	4589435	COLI-K12-92 // TU0-7
PM0-9743	3037873	COLI-K12-60 // TU0-14489
PM0-44555	657231	COLI-K12-13
PM0-44850	1337186	COLI-K12-26
PM0-9834		TU0-14551
PM00293	4098589	COLI-K12-82 // TU00208
PM0-44922	1494800	COLI-K12-30
PM0-45215	2149023	COLI-K12-43
PM00374	1797325	COLI-K12-36 // TU0-8856 // TU0-6626
PM125	2301596	COLI-K12-46 // TU00305
PM0-45283	2309616	COLI-K12-46
PM0-45579	3153406	COLI-K12-63
PM439	770507	COLI-K12-15 // TU358
PM0-45944	4067469	COLI-K12-81
PM0-45651	3265250	COLI-K12-65
PM0-1221	4040414	COLI-K12-81 // TU0-1061
PM0-10054	1753687	COLI-K12-35 // TU0-14630
PM0-5164	4489205	COLI-K12-90 // TU0-4924
PM0-46016	4354540	COLI-K12-87
PM0-44467	398771	COLI-K12-8
PM0-2523	159171	COLI-K12-3 // TU00315
PM0-9719	3437568	COLI-K12-68 // TU0-13911
PM0-7741	1064782	COLI-K12-21 // TU0-7401
PM0-44834	1313421	COLI-K12-26
PM0-44539	605487	COLI-K12-12
PM00268	2683596	COLI-K12-53 // TU00192
PM0-9812		TU0-14529
PM0-45199	2101117	COLI-K12-42
PM0-44906	1481015	COLI-K12-29
PM00672	3316397	COLI-K12-66 // TU0-8476 // TU341
PM00358	1078402	COLI-K12-21 // TU104
PM0-45563	3130615	COLI-K12-62
PM0-45269	2276375	COLI-K12-45
PM0-45928	4022988	COLI-K12-80
PM338	34218	COLI-K12-0 // TU141
PM-8772	925702	COLI-K12-18 // TU-8389
PM0-45635	3248996	COLI-K12-65
PM0-10558	2906174	COLI-K12-58 // TU0-14821
PM0-10037	1406048	COLI-K12-28 // TU0-13223
PM0-4864	604676	COLI-K12-12 // TU0-4624
PM0-46000	4292330	COLI-K12-86
PM0-9695	3740743	COLI-K12-75 // TU0-14454
PM0-2061	2660221	COLI-K12-53 // TU0-1881
PM0-44454	380181	COLI-K12-7
PM0-7421	3086277	COLI-K12-61 // TU0-7081
PM0-44819	1269769	COLI-K12-25
PM0-44523	568010	COLI-K12-11
PM00243	848173	COLI-K12-17 // TU00176
PM0-9793		TU0-14513
PM0-45183	2057899	COLI-K12-41
PM0-44890	1423273	COLI-K12-28
PM00656	3108387	COLI-K12-62 // TU00501
PM00341	494308	COLI-K12-9 // TU00402
PM0-45547	3097615	COLI-K12-62
PM0-45253	2241910	COLI-K12-44
PM0-45912	4000865	COLI-K12-80
PM262	1333805	COLI-K12-26 // TU794
PM0-10525	4156417	COLI-K12-83 // TU0-8485
PM0-45619	3219286	COLI-K12-64
PM0-4681	2830461	COLI-K12-56 // TU0-4441
PM0-10018	1143644	COLI-K12-22 // TU0-14622
PM0-9649	1102558	COLI-K12-22 // TU0-14429
PM0-45984	4228332	COLI-K12-84
PM0-4444	197821	COLI-K12-3 // TU0-4204
PM0-1729	1243779	COLI-K12-24 // TU0-1548
PM0-44803	1227973	COLI-K12-24
PM0-6541	3851360	COLI-K12-77 // TU0-6241
PM00220	4366455	COLI-K12-87 // TU0-6021 // TU00160
PM0-44507	522290	COLI-K12-10
PM00640	2826882	COLI-K12-56 // TU0-7042
PM0-9771		TU0-13451
PM0-45170	2036226	COLI-K12-40
PM0-44874	1410009	COLI-K12-28
PM0-45531	3030965	COLI-K12-60
PM00325	122969	COLI-K12-2 // TU0-6634
PM0-45896	3895502	COLI-K12-78
PM0-45239	2213608	COLI-K12-44
PM0-10480	2998287	COLI-K12-60 // TU0-14792
PM194	1337258	COLI-K12-26 // TU0-1742
PM0-46395	4072664	COLI-K12-81 // TU0-42682
PM0-45603	3183364	COLI-K12-63
PM0-9611	4577940	COLI-K12-91 // TU0-8264
PM0-10000	903740	COLI-K12-18 // TU0-13073
PM0-44425	303486	COLI-K12-6
PM0-45968	4137069	COLI-K12-82
PM0-44787	1209362	COLI-K12-24
PM0-1441	710052	COLI-K12-14 // TU0-1281
PM00195	357933	COLI-K12-7 // TU00143
PM0-5581	2217545	COLI-K12-44 // TU0-5341
PM00624	3567594	COLI-K12-71 // TU00470
PM0-44491	490097	COLI-K12-9
PM0-45154	1987588	COLI-K12-39
PM0-9755		TU0-13585
PM0-45515	2991613	COLI-K12-60
PM0-44858	1350681	COLI-K12-27
PM0-45883	3841980	COLI-K12-77
PM00306	1299109	COLI-K12-26 // TU00222
PM0-10453	1905817	COLI-K12-38 // TU0-14771
PM0-45223	2166589	COLI-K12-43
PM0-46372	2708415	COLI-K12-54 // TU0-42636
PM169	996786	COLI-K12-19 // TU0-6629
PM0-44409	274430	COLI-K12-5
PM0-45587	3166311	COLI-K12-63
PM0-9591	77367	COLI-K12-1 // TU0-12806
PM-8807	4254621	COLI-K12-85 // TU-8421
PM0-44771	1197813	COLI-K12-24
PM0-45952	4077620	COLI-K12-81
PM00171	3220573	COLI-K12-64 // TU00127
PM0-1321		TU0-1161
PM00607	102742	COLI-K12-2 // TU0-3941
PM0-5284	1608761	COLI-K12-32
PM0-45138	1948660	COLI-K12-39
PM0-44475	429693	COLI-K12-8
PM0-45499	2983831	COLI-K12-59
PM0-9728	4633266	COLI-K12-92 // TU0-14475
PM0-45867	3791753	COLI-K12-76
PM0-44842	1328726	COLI-K12-26
PM0-10415	3166675	COLI-K12-63 // TU0-13832
PM00282	17458	COLI-K12-0 // TU00200
PM0-46355	146754	COLI-K12-2 // TU0-42600
PM0-45207	2107700	COLI-K12-42
PM0-44393	237260	COLI-K12-4
PM1022	2253274	COLI-K12-45 // TU862
PM0-9565		TU0-13642
PM0-45571	3132038	COLI-K12-62
PM0-44755	1174552	COLI-K12-23
PM0-45936	4056403	COLI-K12-81
PM00150	3382335	COLI-K12-67 // TU00108
PM-8781	3341418	COLI-K12-67 // TU-8398
PM0-45122	1923044	COLI-K12-38
PM0-1124	4453783	COLI-K12-89 // TU0-964
PM00594	922303	COLI-K12-18 // TU00445
PM0-5001	2922546	COLI-K12-58 // TU0-4761
PM0-45483	2941285	COLI-K12-58
PM0-44459	383925	COLI-K12-7
PM0-45851	3749998	COLI-K12-75
PM0-9710	142703	COLI-K12-2 // TU0-8774
PM0-10372	3242865	COLI-K12-65 // TU0-14746
PM0-44826	1292739	COLI-K12-25
PM0-46336	1020306	COLI-K12-20 // TU0-8679
PM00257	3595778	COLI-K12-72 // TU00184
PM0-44377	193471	COLI-K12-3
PM0-45191	2085262	COLI-K12-41
PM0-9538	969865	COLI-K12-19 // TU0-13088
PM00664	1030942	COLI-K12-20 // TU00509
PM0-44739	1143603	COLI-K12-22
PM0-45555	3109329	COLI-K12-62
PM00132	3303882	COLI-K12-66 // TU00093
PM0-45920	4005762	COLI-K12-80
PM0-45106	1906924	COLI-K12-38
PM0-10542	2764882	COLI-K12-55 // TU0-14812
PM00577	1860759	COLI-K12-37 // TU0-4905
PM0-4744	4311155	COLI-K12-86 // TU0-4504
PM0-45467	2874558	COLI-K12-57
PM0-9680	932361	COLI-K12-18 // TU0-14447
PM0-45835	3714379	COLI-K12-74
PM0-44447	326485	COLI-K12-6
PM0-10351	1358992	COLI-K12-27 // TU0-13209
PM0-44811	1244306	COLI-K12-24
PM0-46320	2267833	COLI-K12-45 // TU0-42566
PM00231	2238588	COLI-K12-44 // TU00168
PM0-44361	146957	COLI-K12-2
PM00648	1744439	COLI-K12-35 // TU00493
PM0-9416	3838040	COLI-K12-76 // TU0-8817
PM0-45539	3087681	COLI-K12-61
PM0-44723	1100978	COLI-K12-22
PM0-45904	3944803	COLI-K12-79
PM00107	2889986	COLI-K12-57 // TU00078
PM0-10506	3708604	COLI-K12-74 // TU0-13975
PM0-45090	1875690	COLI-K12-37
PM0-46404	4071686	COLI-K12-81 // TU0-42690
PM00560	4538690	COLI-K12-91 // TU00410
PM0-9626	75608	COLI-K12-1 // TU0-14425
PM0-45451	2794836	COLI-K12-56 // TU0-13708
PM0-44432	311163	COLI-K12-6
PM0-45819	3694379	COLI-K12-74
PM0-44795	1218037	COLI-K12-24
PM0-10281	2151670	COLI-K12-43 // TU0-13503
PM00208	4297430	COLI-K12-86 // TU00152
PM0-46302	1449433	COLI-K12-29 // TU0-42552
PM00632	3483973	COLI-K12-69 // TU00478
PM0-44347	47080	COLI-K12-0
PM0-45162	2006179	COLI-K12-40
PM0-9375	794218	COLI-K12-15 // TU0-14276
PM0-45523	3013256	COLI-K12-60
PM0-44707	1050530	COLI-K12-21
PM0-45891	3867435	COLI-K12-77
PM00087	4095734	COLI-K12-82 // TU00063
PM0-10468	3670159	COLI-K12-73 // TU0-13966
PM0-45074	1852007	COLI-K12-37
PM0-46382	925266	COLI-K12-18 // TU0-42660
PM00544	1554620	COLI-K12-31 // TU0-1761
PM0-9597	1921090	COLI-K12-38 // TU0-8508
PM0-45435	2756685	COLI-K12-55
PM0-44417	288416	COLI-K12-5
PM0-45803	3622196	COLI-K12-72
PM0-44779	1202237	COLI-K12-24
PM0-10248	1821516	COLI-K12-36 // TU0-8267
PM00180	2931876	COLI-K12-58 // TU00135
PM0-46242	1645900	COLI-K12-33 // TU0-13327
PM00615	461043	COLI-K12-9 // TU0-6622
PM0-4432	3099766	COLI-K12-62 // TU0-4191
PM0-45146	1977622	COLI-K12-39
PM0-9327	1647621	COLI-K12-33 // TU0-13331
PM0-45507	2986453	COLI-K12-59
PM0-44691	1023217	COLI-K12-20
PM0-45875	3826714	COLI-K12-76
PM00062	3492009	COLI-K12-70 // TU00046
PM0-10441	374610	COLI-K12-7 // TU0-12900
PM0-45058	1805603	COLI-K12-36
PM0-46364	1490143	COLI-K12-29 // TU0-13257
PM00528	42037	COLI-K12-0 // TU00247
PM0-44401	247624	COLI-K12-4
PM0-45419	2723782	COLI-K12-54
PM0-9576	2906868	COLI-K12-58 // TU0-14414
PM0-45787	3603657	COLI-K12-72
PM0-44763	1187490	COLI-K12-23
PM0-10220	1724045	COLI-K12-34 // TU0-42534 // TU0-14687
PM00159	4359986	COLI-K12-87 // TU00118
PM0-46186	1860271	COLI-K12-37 // TU0-42481
PM0-45130	1939707	COLI-K12-38
PM0-4201	621481	COLI-K12-12 // TU0-6042
PM0-45491	2968414	COLI-K12-59
PM0-9199	2974211	COLI-K12-59 // TU0-8763
PM0-45859	3774447	COLI-K12-75
PM0-44675	959478	COLI-K12-19
PM0-10389	1507245	COLI-K12-30 // TU0-13266
PM00040	3851046	COLI-K12-77 // TU0-42513 // TU00032
PM0-46346	914118	COLI-K12-18 // TU0-13076
PM0-45042	1763171	COLI-K12-35
PM0-44385	214195	COLI-K12-4
PM00512	3865541	COLI-K12-77 // TU00407
PM0-9552	21833	COLI-K12-0 // TU0-14394
PM0-45403	2665885	COLI-K12-53
PM0-44747	1161044	COLI-K12-23
PM0-45039	1762954	COLI-K12-35
PM00141	770393	COLI-K12-15 // TU00100
PM00508	4622822	COLI-K12-92 // TU0-6630
PM0-45114	1914205	COLI-K12-38
PM0-45400	2657975	COLI-K12-53
PM00585	1753491	COLI-K12-35 // TU00527
PM0-45768	3569442	COLI-K12-71
PM0-45475	2903627	COLI-K12-58
PM0-10189	4426842	COLI-K12-88 // TU0-8663
PM0-45843	3725850	COLI-K12-74
PM0-46154	3232502	COLI-K12-64 // TU0-13854
PM0-10363	4484124	COLI-K12-89 // TU0-14741
PM0-3663	1921409	COLI-K12-38 // TU0-3463
PM0-46328	2410616	COLI-K12-48 // TU0-13582
PM0-8907	1091746	COLI-K12-21 // TU0-8471
PM0-44369	160143	COLI-K12-3
PM0-44656	914124	COLI-K12-18
PM0-9514	3453504	COLI-K12-69 // TU0-14374
PM00017	29619	COLI-K12-0 // TU00109
PM0-44731	1118855	COLI-K12-22
