"Terminator ID"	"Left-End-Position"	"Right-End-Position"	"Component-Of"
TERM65	951207	951266	COLI-K12-19 // TU00379 // TU00378 // TU00377 // TU00384 // TU00383 // TU00382 // TU00381 // TU00380
TERM0601	3348261	3348289	COLI-K12-67 // TU00487
TERM5	3599887	3599907	COLI-K12-72 // TU00426 // TU00427 // TU00084 // TU00083 // TU221
FIME	4542851	4542902	COLI-K12-91 // TU183
TERM169	474263	474301	COLI-K12-9 // TU587
TERM0-1204	1287009	1287033	TU0-14549 // TU00511 // COLI-K12-25
TERM0923	1944219	1944248	COLI-K12-38 // TU00353 // TU0-6661
TERM0-1192	788615	788741	TU0-42583 // COLI-K12-15
TERM0661	3058644	3058660	COLI-K12-61 // TU0-7341
TERM0-1189	790312	790425	TU0-42578 // COLI-K12-15
TERM0361	4051241	4051280	COLI-K12-81 // TU0-4822
TERM0-1089	3888462	3888509	TU00085 // COLI-K12-77 // TU0-42514
TERM0161	2597803	2597824	COLI-K12-52 // TU00256 // TU0-4161
TERM0-1277	1122675	1122729	TU0-13129 // COLI-K12-22
TERM0-1261	1972771	1972825	TU00303 // COLI-K12-39
TERM0-1205	696392	696429	TU0-14553 // TU00507 // COLI-K12-13
TERM0-1244	2518002	2518041	TU00514 // COLI-K12-50
TERM0-1179	1449037	1449063	COLI-K12-29 // TU0-42551
TERM0-1228	1850701	1850738	TU0-13391 // COLI-K12-37
TERM0-1159	3438444	3438504	COLI-K12-68 // TU0-13910
TERM0-1203	2964320	2964339	TU00295 // TU0-42616 // COLI-K12-59
TERM0-1134	3328806	3328846	COLI-K12-66 // TU0-14794 // TU-8397
TERM0-1178	1151860	1151887	COLI-K12-23 // TU0-42537
TERM0-1113	4005815	4005836	COLI-K12-80 // TU0-14046
TERM0-1157	1312261	1312300	COLI-K12-26 // TU0-13190
TERM0-1087	850982	851009	COLI-K12-17 // TU0-8812 // TU0-14688
TERM0-1132	191721	191738	COLI-K12-3 // TU00345
TERM0-1057	1322975	1322995	COLI-K12-26 // TU0-42510
TERM0-1111	2533409	2533424	COLI-K12-50 // TU00079 // TU0-14642
TERM0-1035	1645034	1645049	COLI-K12-32 // TU0-14381
TERM0-1086	3966856	3966876	COLI-K12-79 // TU0-42518
METYT2	3318031	3318043	COLI-K12-66 // TU0-8476 // TU343
TERM0-1056	3720286	3720313	COLI-K12-74 // TU0-1582 // TU0-1581
TERM86	3308999	3309021	COLI-K12-66 // TU0-6654 // TU341 // TU0-6223 // TU0-6660
TERM0-1034	360253	360278	COLI-K12-7 // TU0-14378
TERM63	1821865	1821886	COLI-K12-36 // TU00398
METYT1	3318072	3318087	COLI-K12-66 // TU0-8476 // TU343
TERM48	3091089	3091112	COLI-K12-61 // TU00452 // TU00453
TERM85	3811209	3811225	COLI-K12-76 // TU0-5601 // TU00339
TERM167	3956883	3956909	COLI-K12-79 // TU00033
TERM62	1911652	1911679	COLI-K12-38 // TU00400
TERM0902	3071431	3071450	COLI-K12-61 // TU0-14817 // TU0-14814 // TU0-8083 // TU00443
TERM47	3091103	3091123	COLI-K12-61 // TU00452 // TU00453
TERM0621	2356723	2356752	COLI-K12-47 // TU00030
TERM165	3956967	3956985	COLI-K12-79 // TU0-6651 // TU524 // TU525 // TU526
TERM0322	2536363	2536380	COLI-K12-50 // TU00483 // TU00481 // TU00479 // TU00480 // TU0-4786 // TU0-4782 // TU00482
TERM0881	3555795	3555820	COLI-K12-71 // TU00091
TERM01024	4466284	4466298	COLI-K12-89 // TU0-2443 // TU0-2442 // TU0-2441 // TU00397
TERM061	3664915	3664935	COLI-K12-73 // TU586 // TU0-2261
TERM0-1275	419191	419245	TU00053 // COLI-K12-8
TERM0301	2924166	2924191	COLI-K12-58 // TU0-4761
TERM0-1259	4109830	4109884	TU0-14080 // COLI-K12-82
TERM01021	129366	129394	COLI-K12-2 // TU00522 // TU00523
TERM0-1242	2057926	2057974	TU0-3561 // COLI-K12-41
TERM0-1274	985831	985885	TU00050 // COLI-K12-19
TERM0-1226	3110445	3110477	TU00501 // COLI-K12-62
TERM0-1258	3423371	3423425	TU0-1191 // TU0-1192 // COLI-K12-68
TERM0-1220	753126	753163	TU00106 // TU00416 // COLI-K12-15
TERM0-1241	2044704	2044750	TU00497 // COLI-K12-40
TERM0-1201	134249	134272	TU796 // COLI-K12-2
TERM0-1225	237031	237067	TU00489 // COLI-K12-4
TERM0-1176	3647652	3647689	COLI-K12-73 // TU0-8263
TERM0-1219	4297178	4297211	TU00152 // COLI-K12-86
TERM0-1155	1315785	1315815	COLI-K12-26 // TU0-36408
TERM0-1200	2282824	2282836	TU0-13557 // COLI-K12-45
TERM0-1129	2656506	2656530	COLI-K12-53 // TU00423
TERM0-1175	3648117	3648147	COLI-K12-73 // TU0-42529
TERM0-1109	4110708	4110730	COLI-K12-82 // TU0-6485
TERM0-1154	1316383	1316408	COLI-K12-26 // TU00067
TERM0-1084	3966491	3966513	COLI-K12-79 // TU0-42518
TERM0-1125	3776401	3776419	COLI-K12-75 // TU00193
TERM0-1054	3950320	3950471	COLI-K12-79 // TU0-42517 // TU0-42516
TERM0-1108	3099654	3099674	COLI-K12-62 // TU00075 // TU0-6569
TERM0-1031	2033715	2033731	COLI-K12-40 // TU0-14332
TERM0-1081	4472426	4472445	COLI-K12-89 // TU00485 // TU00484
GUSAT1	2630906	2630933	COLI-K12-52 // TU00205
TERM0-1050	3191716	3191735	COLI-K12-63 // TU00420 // TU00279
TERM82	4189599	4189613	COLI-K12-83 // TU0-6512 // TU0-7002 // TU00335
TERM0-1030	4633111	4633144	COLI-K12-92 // TU00220
TERM60	4120368	4120385	COLI-K12-82 // TU00287
GLYA_TERMINATOR	2684075	2684093	COLI-K12-53 // TU00192
TERM45	4277927	4277957	COLI-K12-85 // TU0-8519 // TU00456
TERM81	4377783	4377800	COLI-K12-87 // TU243
TERM163	461730	461742	COLI-K12-9 // TU490 // TU489 // TU488 // TU487
TERM59	3324942	3324969	COLI-K12-66 // TU00414 // TU00277
TERM0841	1816258	1816282	COLI-K12-36 // TU0-6507
TERM44	2873234	2873284	COLI-K12-57 // TU00146
TERM0582	424486	424508	COLI-K12-8 // TU0-5402
TERM162	4200582	4200601	COLI-K12-84 // TU486
TERM0282	3270075	3270088	COLI-K12-65 // TU543
TERM0821	705939	705965	COLI-K12-14 // TU0-4421
TERM01001	1946815	1946854	COLI-K12-39 // TU0-8243 // TU0-8241 // TU0-8242
TERM0564	3906593	3906634	COLI-K12-78 // TU0-4802
TERM0-1272	3534473	3534527	TU163 // TU161 // TU00177 // TU162 // COLI-K12-70
TERM0281	3269962	3269975	COLI-K12-65 // TU543
TERM0-1256	2731557	2731611	TU00421 // COLI-K12-54
TERM0-1291	1996034	1996088	TU0-8716 // COLI-K12-40
TERM0-1239	1096979	1097018	TU00510 // COLI-K12-21
TERM0-1271	3313185	3313239	TU00517 // TU00311 // COLI-K12-66
TERM0-1217	3486760	3486792	TU0-14398 // TU0-14396 // TU00119 // COLI-K12-69
TERM0-1255	2737498	2737552	TU0-13677 // COLI-K12-54
TERM0-1197	2196343	2196366	COLI-K12-44 // TU0-42595 // TU0-13519
TERM0-1238	1097160	1097199	TU00510 // COLI-K12-21
TERM0-1173	193442	193498	COLI-K12-3 // TU0-42525
TERM0-1216	34087	34120	TU00109 // TU00110 // COLI-K12-0
TERM0-1152	2947691	2947717	COLI-K12-59 // TU00496
TERM0-1196	2192993	2193034	TU0-13518 // COLI-K12-43
TERM0-1123	3776189	3776209	COLI-K12-75 // TU00193
TERM0-1171	1733711	1733740	COLI-K12-34 // TU-8430 // TU00333
TERM0-1104	1698136	1698163	COLI-K12-34 // TU00187
TERM0-1151	3815096	3815119	COLI-K12-76 // TU00334
TERM0-1078	4190328	4190349	COLI-K12-83 // TU00399
TERM0-1122	3776155	3776175	COLI-K12-75 // TU00193
TERM0-1047	1269039	1269067	COLI-K12-25 // TU305 // TU306
TERM0-1103	2167162	2167200	COLI-K12-43 // TU0-13506
TERM-RPST	20771	20784	COLI-K12-0 // TU0-7842 // TU0-7844
TERM0-1074	4376705	4376731	COLI-K12-87 // TU0-14682
DNAC	4600139	4600157	COLI-K12-92 // TU0-8869 // TU0-8868
TERM0-1046	3699899	3699929	COLI-K12-74 // TU0-8846
TERM73	710118	710134	COLI-K12-14 // TU0-1282 // TU0-1283 // TU0-1281 // TU00121
SPY-TERMINATOR	1825057	1825126	COLI-K12-36 // TU-8381
TERM57	2854304	2854321	COLI-K12-57 // TU00424 // TU00154
BOLA	454844	454865	COLI-K12-9 // TU00386 // TU0-14251
TERM42	1999541	1999571	COLI-K12-40 // TU0-14515 // TU00415 // TU00471
TERM72	3214943	3214962	COLI-K12-64 // TU00438 // TU00437 // TU00436 // TU00435 // TU00434 // TU00352
TERM141	884910	884938	COLI-K12-17 // TU0-14699 // TU423
TERM56	3739595	3739620	COLI-K12-74 // TU00137
TERM0801	2842477	2842501	COLI-K12-56 // TU00153
TERM4	1260895	1260909	COLI-K12-25 // TU0-8323 // TU00203
TERM0541	4055990	4056009	COLI-K12-81 // TU0-5903 // TU0-5901
TERM121	3559754	3559831	COLI-K12-71 // TU401 // TU402 // TU403 // TU404
TERM0242	4242539	4242555	COLI-K12-85 // TU00038
TERM0782	2219660	2219682	COLI-K12-44 // TU0-7501
TERM0-1289	2744115	2744169	TU00351 // TU0-13679 // COLI-K12-55
TERM0521	3664943	3664961	COLI-K12-73 // TU0-5761
TERM0-1269	4132402	4132456	TU0-3741 // COLI-K12-82
TERM0241	4106361	4106379	COLI-K12-82 // TU0-1041
TERM0-1253	4079990	4080025	TU0-14072 // COLI-K12-81
TERM0-1288	5032	5086	TU00178 // COLI-K12-0
TERM0-1236	1097522	1097561	TU00510 // COLI-K12-22 // COLI-K12-21
TERM0-1268	2430850	2430904	TU0-13591 // COLI-K12-48
TERM0-1213	404786	404824	TU0-8493 // COLI-K12-8
TERM0-1251	3056957	3056991	TU0-14717 // COLI-K12-61
TERM0-1187	3453298	3453358	TU00347 // COLI-K12-69
TERM0-1235	2521485	2521519	TU00495 // COLI-K12-50
TERM0-1168	1292461	1292485	COLI-K12-25 // TU00139
TERM0-1211	3982813	3982841	TU00503 // COLI-K12-79
TERM0-1148	3350671	3350697	COLI-K12-67 // TU0-8517
TERM0-1186	1413702	1413724	TU0-42572 // COLI-K12-28
TERM0-1120	2521489	2521515	COLI-K12-50 // TU792 // TU791
TERM0-1166	1686705	1686725	COLI-K12-33 // TU00104
TERM0-1099	3853662	3853689	COLI-K12-77 // TU0-6241
TERM0-1145	1980096	1980126	COLI-K12-39 // TU00391 // TU00312 // TU0-7722
TERM0-1067	3060660	3060680	COLI-K12-61 // TU0-1341
TERM0-1119	3850746	3850779	COLI-K12-77 // TU00032
TERM0-1044	1146728	1146752	COLI-K12-22 // TU0-14333
TERM0-1097	2081341	2081369	COLI-K12-41 // TU0-13488
RPSOT1	3311372	3311398	TU0-8516 // COLI-K12-66 // TU0-8474
TERM0-1066	3322035	3322071	COLI-K12-66 // TU0-14574 // TU0-14573
AROH_TERMINATOR	1789487	1789510	COLI-K12-35 // TU0-14254 // TU00010
TERM0-1043	4178328	4178356	COLI-K12-83 // TU00354
YJJA	4599620	4599635	COLI-K12-92 // TU0-8867 // TU00261
RPLT-T2	1799363	1799382	COLI-K12-36 // TU0-3305 // TU0-14255 // TU0-6657
TERM70	3915508	3915530	COLI-K12-78 // TU0-6636 // TU0-6635 // TU00243
AROGT1	786795	786821	COLI-K12-15 // TU00009
TERM54	3640570	3640591	COLI-K12-72 // TU00433 // TU00432 // TU00431
VALS	4480932	4480957	COLI-K12-89 // TU0-6405 // TU0-6687
TERM21	3754906	3754941	COLI-K12-75 // TU00138
TERM7	1080794	1080838	COLI-K12-21 // TU123 // TU122 // TU121 // TU104 // TU103
TERM101	127590	127619	COLI-K12-2 // TU0-6634
TERM53	2428030	2428048	COLI-K12-48 // TU0-14520 // TU00475 // TU00444
TERM0761	2007642	2007674	COLI-K12-40 // TU0-7461
TERM202	427756	427786	COLI-K12-8 // TU870
TERM0461	1932085	1932105	COLI-K12-38 // TU00227 // TU26 // TU27 // TU25
TERM1	926162	926186	COLI-K12-18 // TU-8390 // TU-8389
TERM0222	361212	361236	COLI-K12-7 // TU0-14521 // TU00142 // TU0-4703 // TU0-4702 // TU0-4701 // TU00036
TERM0741	2508424	2508447	COLI-K12-50 // TU0-14640 // TU0-7421
TERM0-1282	4101468	4101522	TU00064 // COLI-K12-82
TERM0441	4549922	4549942	COLI-K12-91 // TU0-4961
TERM0-1266	3564082	3564136	TU0-14302 // TU00470 // TU00469 // TU00122 // TU0-36417 // COLI-K12-71
TERM0221	1388267	1388301	COLI-K12-27 // TU00068
TERM0-1249	4496494	4496529	TU00506 // COLI-K12-90
TERM0-1281	4213155	4213209	TU0-14530 // TU0-14487 // TU0-1186 // COLI-K12-84
TERM0-1233	781653	781687	TU0-13036 // COLI-K12-15
TERM0-1265	963662	963716	TU361 // COLI-K12-19
TERM0-1209	925843	925871	TU0-42660 // TU00508 // COLI-K12-18
TERM0-1248	4362509	4362548	TU00520 // COLI-K12-87
TERM0-1184	3382157	3382178	COLI-K12-67 // TU0-42560
TERM0-1232	4007726	4007763	TU0-14047 // COLI-K12-80
TERM0-1163	3923705	3923732	COLI-K12-78 // TU0-14263
TERM0-1208	4177158	4177185	TU00504 // COLI-K12-83
TERM0-1143	1844932	1844954	COLI-K12-36 // TU0-14527 // TU00356
TERM0-1183	3382115	3382154	COLI-K12-67 // TU0-42560
TERM0-1117	3947032	3947067	COLI-K12-79 // TU0-1184 // TU0-1183
TERM0-1162	1405662	1405693	COLI-K12-28 // TU0-8760
TERM0-1095	3815807	3815828	COLI-K12-76 // TU0-14696
TERM0-1142	1622766	1622799	COLI-K12-32 // TU0-13307
TERM0-1064	107501	107544	COLI-K12-2 // TU0-12809
TERM0-1116	4171935	4171962	COLI-K12-83 // TU0-14528 // TU0-3364 // TU0-1182
TERM0-1041	29248	29272	COLI-K12-0 // TU0-6403 // TU0-14399
TERM0-1094	3908495	3908517	COLI-K12-78 // TU0-14693
PROS-TERMINATOR	217020	217051	COLI-K12-4 // TU0-6562
TERM0-1061	2746209	2746241	COLI-K12-55 // TU0-13680
ARCAT1	4639539	4639572	COLI-K12-92 // TU352 // TU348 // TU354 // TU347 // TU346 // TU345 // TU344
TERM0-1040	185090	185111	COLI-K12-3 // TU0-6443
TERMGLYS	3722291	3722310	COLI-K12-74 // TU00281
PRMAT1	3410029	3410042	COLI-K12-68 // TU00314
TERM68	65800	65821	COLI-K12-1 // TU00214
ACRFT1	3418143	3418177	COLI-K12-68 // TU00234
TERM51	431096	431122	COLI-K12-8 // TU00449 // TU00450
TERM89	4639538	4639572	COLI-K12-92 // TU0-14683 // TU00253
TERM2	1334845	1334874	COLI-K12-26 // TU00077
TERM66	4366844	4366864	COLI-K12-87 // TU00160
TERM0941	9199	9226	COLI-K12-0 // TU0-8121
TERM50	1037608	1037634	COLI-K12-20 // TU00288
TERM0702	1066833	1066857	COLI-K12-21 // TU0-7401
TERM181	4338210	4338237	COLI-K12-86 // TU00235
TERM041	1671703	1671720	COLI-K12-33 // TU0-1701
TERM0924	1948662	1948693	COLI-K12-39 // TU0-14634 // TU0-8084
TERM0201	3577622	3577652	COLI-K12-71 // TU0-4523 // TU0-4522 // TU0-4521
TERM0681	715211	715242	COLI-K12-14 // TU0-4444
TERM0-1279	228998	229052	TU0-14372 // COLI-K12-4
TERM0382	3575688	3575711	COLI-K12-71 // TU0-42252 // TU00228 // TU0-4881
TERM0-1263	4056418	4056472	TU0-5901 // TU0-5903 // COLI-K12-81
TERM0183	4313801	4313827	COLI-K12-86 // TU0-4483
TERM0-1246	3708577	3708615	TU00519 // COLI-K12-74
TERM0-1278	3877532	3877586	TU0-2603 // COLI-K12-77
TERM0-1230	4000150	4000177	TU0-7043 // TU00071 // COLI-K12-80
TERM0-1262	2432963	2433017	TU00232 // COLI-K12-48
TERM0-1206	1031590	1031617	TU00509 // COLI-K12-20
TERM0-1245	3215675	3215716	TU00502 // COLI-K12-64
TERM0-1180	3020500	3020522	COLI-K12-60 // TU0-42558
TERM0-1229	931019	931061	TU0-13078 // COLI-K12-18
TERM0-1160	2440283	2440310	COLI-K12-48 // TU0-1482
TERM0-1139	1409217	1409249	COLI-K12-28 // TU0-14795
TERM0-1114	507260	507287	COLI-K12-10 // TU0-8522
TERM0-1090	83574	83603	COLI-K12-1 // TU0-42508
TERM0-1058	2090108	2090140	COLI-K12-41 // TU0-42511
TERM0-1036	3400005	3400036	COLI-K12-68 // TU0-14390 // TU0-14389 // TU0-14388
OMPC_TERMINATOR	2311610	2311624	COLI-K12-46 // TU00477 // TU00476 // TU00049
TERM87	3448267	3448285	COLI-K12-69 // TU00347
TERM64	4345631	4345650	COLI-K12-87 // TU00468 // TU0-4562 // TU00159
TERM49	1958447	1958473	COLI-K12-39 // TU00451
TERM168	1346942	1346968	COLI-K12-26 // TU582 // TU583
TERM0921	1944273	1944303	COLI-K12-38 // TU00353 // TU0-6661
TERM0641	3377756	3377782	COLI-K12-67 // TU0-42202 // TU00336
TERM0344	3905636	3905687	TU0-42564 // COLI-K12-78 // TU0-42515
TERM0141	1113532	1113560	COLI-K12-22 // TU00297 // TU0-4143
TERM0-1276	4049962	4050016	TU797 // COLI-K12-81
TERM0-1260	4108678	4108732	TU0-14813 // TU788 // COLI-K12-82
TERM0-1243	2286295	2286331	TU00494 // COLI-K12-45
TERM0-1227	1736082	1736114	TU0-1681 // COLI-K12-34
TERM0-1221	2519208	2519242	TU0-6551 // TU0-6550 // TU0-6409 // COLI-K12-50
TERM0-1202	2965066	2965095	TU0-42614 // COLI-K12-59
TERM0-1177	3051048	3051072	COLI-K12-61 // TU0-13792
TERM0-1156	1314668	1314698	COLI-K12-26 // TU0-36411 // TU0-13193
TERM0-1130	1888017	1888043	COLI-K12-37 // TU0-4187
TERM0-1110	632046	632091	COLI-K12-12 // TU0-6821 // TU0-6822 // TU0-6823
TERM0-1085	3966718	3966740	COLI-K12-79 // TU0-42518
TERM0-1055	3852835	3852982	COLI-K12-77 // TU0-42513
TERM0-1033	3046126	3046145	COLI-K12-61 // TU0-14509 // TU00170
IHFA-TERMINATOR	1795216	1795239	COLI-K12-35 // TU00174 // TU0-6626
TERM84	3439581	3439595	COLI-K12-68 // TU0-14658 // TU00349
TERM61	496998	497029	COLI-K12-9 // TU00402 // TU00401
TERM46	2006111	2006165	COLI-K12-40 // TU00274
TERM164	461759	461778	COLI-K12-9 // TU490 // TU489 // TU488 // TU487
TERM0862	707954	707978	COLI-K12-14 // TU0-14467 // TU0-6504
TERM0583	424530	424553	COLI-K12-8 // TU0-5402
TERM0283	3270188	3270201	COLI-K12-65 // TU543
TERM0101	1159325	1159346	COLI-K12-23 // TU0-2581
TERM0-1273	987392	987438	TU0-13093 // COLI-K12-19
TERM0-1257	1800035	1800091	TU00366 // TU0-3304 // COLI-K12-36
TERM0-1240	1991745	1991778	TU00512 // COLI-K12-39
TERM0-1218	2223961	2223987	TU0-8787 // COLI-K12-44
TERM0-1199	453557	453576	TU0-12927 // COLI-K12-9
TERM0-1174	3648348	3648384	COLI-K12-73 // TU0-42530
TERM0-1153	2947736	2947756	COLI-K12-59 // TU00496
TERM0-1124	3776277	3776304	COLI-K12-75 // TU00193
TERM0-1105	1235677	1235698	COLI-K12-24 // TU0-14737 // TU0-8794
TERM0-1079	3376249	3376277	COLI-K12-67 // TU00361
TERM0-1048	1898307	1898331	COLI-K12-38 // TU00223
TERM0-1029	4236159	4236209	COLI-K12-84 // TU0-14111
FIST	3411593	3411626	COLI-K12-68 // TU00021
TERM8	2522698	2522720	COLI-K12-50 // TU301
TERM58	458731	458755	COLI-K12-9 // TU0-14490 // TU00419 // TU00251
TERM43	3211042	3211072	COLI-K12-64 // TU00472
TERM161	3269959	3269992	COLI-K12-65 // TU482
TERM081	3150552	3150576	COLI-K12-63 // TU00265 // TU0-2562
TERM0563	3902249	3902292	COLI-K12-78 // TU0-4802
TERM0261	1311815	1311846	COLI-K12-26 // TU00167
TERM0-1290	4271007	4271061	TU00069 // TU0-14122 // COLI-K12-85
TERM0-1270	1977200	1977254	TU0-14785 // TU00136 // COLI-K12-39
TERM0-1254	1286525	1286579	TU00044 // COLI-K12-25
TERM0-1237	1097341	1097380	TU00510 // COLI-K12-21
TERM0-1214	940741	940765	TU0-13080 // COLI-K12-18
TERM0-1194	950301	950330	TU0-13083 // COLI-K12-19
TERM0-1170	1338512	1338548	COLI-K12-26 // TU0-1742 // TU0-1741
TERM0-1150	3663541	3663571	COLI-K12-73 // TU0-14433 // TU0-14719 // TU0-14718
TERM0-1121	2521334	2521358	COLI-K12-50 // TU792 // TU791
TERM0-1100	3853118	3853144	COLI-K12-77 // TU0-7182 // TU0-7181
TERM0-1073	256442	256474	COLI-K12-5 // TU0-14680
TERM0-1045	4162137	4162164	COLI-K12-83 // TU00430
SPEDT1	134756	134783	COLI-K12-2 // TU00359
AROPT1	120144	120168	COLI-K12-2 // TU00012 // TU641
TERM71	3911810	3911830	COLI-K12-78 // TU00488 // TU00280
TERM55	3739530	3739570	COLI-K12-74 // TU00137
TERM3	710162	710180	COLI-K12-14 // TU0-1282 // TU0-1283 // TU0-1281 // TU00121
TERM102	1568904	1568930	COLI-K12-31 // TU0-41793 // TU0-41792 // TU0-41791 // TU369
TERM0781	4114527	4114548	COLI-K12-82 // TU00173
TERM0503	498945	498980	COLI-K12-10 // TU0-5421
TERM0223	361140	361179	COLI-K12-7 // TU0-14521 // TU0-4703 // TU0-4702 // TU0-4701 // TU00036
TERM0-1287	1030701	1030755	TU0-13105 // COLI-K12-20
TERM0-1267	964119	964173	TU00175 // TU565 // TU564 // COLI-K12-19
TERM0-1250	2059930	2059966	TU00498 // COLI-K12-41
TERM0-1234	781809	781843	TU0-13036 // COLI-K12-15
TERM0-1210	3525426	3525448	TU0-8822 // COLI-K12-70
TERM0-1185	1961817	1961843	COLI-K12-39 // TU0-13444
TERM0-1164	1015900	1015924	COLI-K12-20 // TU0-42483
TERM0-1144	1844937	1844959	COLI-K12-36 // TU0-14798
TERM0-1118	2691157	2691185	COLI-K12-53 // TU0-14775 // TU0-13666
TERM0-1096	3817574	3817603	COLI-K12-76 // TU0-14001
TERM0-1065	1449037	1449063	COLI-K12-29 // TU0-8795
TERM0-1042	4023516	4023537	COLI-K12-80 // TU0-42519
PSPF	1366818	1366913	COLI-K12-27 // TU0-1805 // TU0-1803 // TU0-1802
AROF-TYRA-TERMINATOR	2738912	2738940	COLI-K12-54 // TU0-6653 // TU00008
TYRBT1	4268317	4268340	COLI-K12-85 // TU00087
TERM69	4378966	4378987	COLI-K12-87 // TU00023
TERM52	2390005	2390023	COLI-K12-47 // TU0-14531 // TU00310 // TU00448
TERM201	1086071	1086095	COLI-K12-21 // TU866 // TU864
TERM0961	603377	603409	COLI-K12-12 // TU0-8149
TERM0703	138801	138816	COLI-K12-2 // TU0-7001 // TU0-2042
